City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Ushuaia,AR,-54.8,-68.3,1616281776,40,71,48.2,34.52
Vaini,TO,-21.2,-175.2,1616281787,40,74,86.0,6.91
Saint-Philippe,RE,-21.3585,55.7679,1616281788,40,73,78.8,20.71
Shenzhen,CN,22.5455,114.0683,1616281575,76,86,75.99,1.01
Tigil',RU,57.8,158.6667,1616281791,87,89,5.97,3.27
Lucea,JM,18.451,-78.1736,1616281792,20,69,82.4,8.05
Klaksvík,FO,62.2266,-6.589,1616281794,75,81,42.8,8.05
Kapaa,US,22.0752,-159.319,1616281088,75,73,75.2,23.02
Bluff,NZ,-46.6,168.3333,1616281796,88,94,55.0,7.0
Loa Janan,ID,-0.583,117.095,1616281798,99,96,74.41,1.54
Nouadhibou,MR,20.931,-17.0347,1616281799,92,68,64.4,19.57
Hay River,CA,60.8156,-115.7999,1616281800,100,67,10.4,13.8
Nikolskoye,RU,59.7035,30.7861,1616281802,90,86,28.0,13.42
Pevek,RU,69.7008,170.3133,1616281803,20,95,-20.22,3.49
Butaritari,KI,3.0707,172.7902,1616281805,12,78,82.56,17.09
Jalu,LY,29.0331,21.5482,1616281806,63,14,77.29,10.25
Saint Paul Harbor,US,57.79,-152.4072,1616281807,90,87,37.4,5.75
Nopaltepec,MX,19.8,-98.7,1616281809,75,19,75.2,9.22
Tsimmerbude,RU,54.675,20.1347,1616281810,90,80,33.8,15.66
Port Macquarie,AU,-31.4333,152.9167,1616281811,90,100,69.8,14.97
Esim,GH,4.8699,-2.2405,1616281813,48,83,80.2,5.91
Sandviken,SE,60.6167,16.7667,1616281814,95,56,39.0,5.01
Mataura,NZ,-46.1927,168.8643,1616281816,89,94,55.0,7.0
Bethel,US,41.3712,-73.414,1616281817,1,21,57.2,2.26
Qaanaaq,GL,77.484,-69.3632,1616281818,100,98,-8.48,2.95
Kathmandu,NP,27.7167,85.3167,1616281573,20,71,53.6,2.3
Yellowknife,CA,62.456,-114.3525,1616281590,75,67,10.4,18.41
Saint-Michel-des-Saints,CA,46.6834,-73.9159,1616281822,0,86,30.99,1.01
Kyren,RU,51.6828,102.1408,1616281823,18,63,19.4,4.23
Port Alfred,ZA,-33.5906,26.891,1616281825,50,88,67.15,15.61
Bredasdorp,ZA,-34.5322,20.0403,1616281826,59,94,55.4,2.3
Nelson Bay,AU,-32.7167,152.15,1616281828,75,100,68.0,13.8
Jamestown,US,42.097,-79.2353,1616281634,1,27,46.4,4.41
Fairview,US,40.8126,-73.999,1616281793,1,22,57.2,2.8
Sibolga,ID,1.7427,98.7792,1616281831,87,85,75.51,3.85
Bonavista,CA,48.6499,-53.1147,1616281833,99,79,26.01,4.61
Lebu,CL,-37.6167,-73.65,1616281821,4,78,58.32,6.29
Busselton,AU,-33.65,115.3333,1616281835,0,46,68.65,3.74
São Filipe,CV,14.8961,-24.4956,1616281837,31,73,70.92,5.3
Manitouwadge,CA,49.1215,-85.8403,1616281838,0,39,44.6,8.05
Bahía Blanca,AR,-38.7196,-62.2724,1616281808,2,54,65.62,9.17
Agirish,RU,61.9247,63.0231,1616281841,100,95,-1.53,8.19
Khorramshahr,IR,30.4397,48.1664,1616281842,0,34,66.2,11.5
Albany,US,42.6001,-73.9662,1616281843,20,29,51.8,14.97
Bengkulu,ID,-3.8004,102.2655,1616281845,86,83,76.06,4.27
Provideniya,RU,64.3833,-173.3,1616281846,100,75,5.92,13.69
Husavik,IS,66.0449,-17.3389,1616281847,75,61,42.8,23.02
Mehamn,NO,71.0357,27.8492,1616281849,100,84,31.93,14.18
Hobart,AU,-42.8794,147.3294,1616281850,75,52,66.2,8.05
Punta Arenas,CL,-53.15,-70.9167,1616281852,75,62,50.0,18.41
Rome,US,43.2128,-75.4557,1616281557,1,36,46.4,6.91
Sioux Lookout,CA,50.1001,-91.917,1616281854,75,38,57.2,11.5
